user_id,product_category,amount,purchasse_date
1,Home & Kitchen,49.99,2024-01-10
2,Clothing,79.95,2024-01-15
3,Books,29.99,2024-01-20
4,Electronics,899.99,2024-01-25
5,Beauty,24.5,2024-02-01
2,Home & Kitchen,39.99,2024-02-05
6,Toys & Games,59.99,2024-02-10
7,Electronics,399.99,2024-02-15
8,Sports & Outdoors,149.99,2024-02-20
9,Clothing,99.95,2024-02-25
10,Books,14.99,2024-03-01
3,Electronics,799.99,2024-03-05
11,Home & Kitchen,29.99,2024-03-10
12,Beauty,19.99,2024-03-15
13,Toys & Games,69.99,2024-03-20
14,Sports & Outdoors,199.99,2024-03-25
15,Clothing,59.95,2024-04-01
16,Books,24.99,2024-04-05
4,Electronics,1099.99,2024-04-10
17,Home & Kitchen,39.99,2024-04-15
18,Beauty,29.5,2024-04-20
19,Toys & Games,79.99,2024-04-25
20,Sports & Outdoors,249.99,2024-05-01
21,Clothing,69.95,2024-05-05
22,Books,19.99,2024-05-10
23,Electronics,599.99,2024-05-15
24,Home & Kitchen,59.99,2024-05-20
25,Beauty,34.5,2024-05-25
26,Toys & Games,89.99,2024-06-01
27,Sports & Outdoors,299.99,2024-06-05
28,Clothing,79.95,2024-06-10
29,Books,29.99,2024-06-15
30,Electronics,799.99,2024-06-20
31,Home & Kitchen,49.99,2024-06-25
32,Beauty,24.99,2024-07-01
33,Toys & Games,99.99,2024-07-05
34,Sports & Outdoors,349.99,2024-07-10
35,Clothing,89.95,2024-07-15
36,Books,34.99,2024-07-20
37,Electronics,999.99,2024-07-25
38,Home & Kitchen,69.99,2024-08-01
39,Beauty,39.5,2024-08-05
40,Toys & Games,119.99,2024-08-10
41,Sports & Outdoors,399.99,2024-08-15
42,Clothing,99.95,2024-08-20
43,Books,39.99,2024-08-25
44,Electronics,1199.99,2024-09-01
45,Home & Kitchen,79.99,2024-09-05
46,Beauty,44.5,2024-09-10
47,Toys & Games,139.99,2024-09-15
48,Sports & Outdoors,449.99,2024-09-20
49,Clothing,109.95,2024-09-25
50,Books,44.99,2024-10-01
51,Electronics,1399.99,2024-10-05
52,Home & Kitchen,99.99,2024-10-10
53,Beauty,49.5,2024-10-15
54,Toys & Games,159.99,2024-10-20
55,Sports & Outdoors,499.99,2024-10-25
56,Clothing,129.95,2024-11-01
57,Books,49.99,2024-11-05
58,Electronics,1599.99,2024-11-10
59,Home & Kitchen,119.99,2024-11-15
60,Beauty,54.5,2024-11-20
61,Toys & Games,179.99,2024-11-25
62,Sports & Outdoors,549.99,2024-12-01
63,Clothing,149.95,2024-12-05
64,,59.99,2024-12-10
65,,1799.99,2024-12-15
66,,139.99,2024-12-20
67,,64.5,2024-12-25
68,,199.99,2025-01-01
69,,599.99,2025-01-05
70,,169.95,2025-01-10
71,,69.99,2025-01-15
72,,1999.99,2025-01-20
73,,159.99,2025-01-25
74,,74.5,2025-02-01
75,,219.99,2025-02-05
76,,649.99,2025-02-10
77,,189.95,2025-02-15
78,,79.99,2025-02-20
79,,2199.99,2025-02-25
80,,179.99,2025-03-01
81,,84.5,2025-03-05
82,,239.99,2025-03-10
83,,699.99,2025-03-15
84,,209.95,2025-03-20
85,,89.99,2025-03-25
86,,2499.99,2025-04-01
87,,199.99,2025-04-05
88,,94.5,
